"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",5800
"Connecticut","09","2006-2010","Some Other Race Alone","Number","Per Capita Income",15703
"Connecticut","09","2006-2010","Some Other Race Alone","Number","Margins of Error",456
"Connecticut","09","2006-2010","Two or More Races","Number","Per Capita Income",16352
"Connecticut","09","2006-2010","Two or More Races","Number","Margins of Error",1045
"Connecticut","09","2006-2010","White Alone","Number","Per Capita Income",40710
"Connecticut","09","2006-2010","White Alone","Number","Margins of Error",256
"Connecticut","09","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",42520
"Connecticut","09","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",277
"Connecticut","09","2007-2011","All","Number","Per Capita Income",37627
"Connecticut","09","2007-2011","All","Number","Margins of Error",257
"Connecticut","09","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",22968
"Connecticut","09","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",2466
"Connecticut","09","2007-2011","Asian Alone","Number","Per Capita Income",36944
"Connecticut","09","2007-2011","Asian Alone","Number","Margins of Error",1408
"Connecticut","09","2007-2011","Black or African American Alone","Number","Per Capita Income",22183
"Connecticut","09","2007-2011","Black or African American Alone","Number","Margins of Error",376
"Connecticut","09","2007-2011","Hispanic or Latino","Number","Per Capita Income",18174
"Connecticut","09","2007-2011","Hispanic or Latino","Number","Margins of Error",342
"Connecticut","09","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",25347
"Connecticut","09","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",7535
"Connecticut","09","2007-2011","Some Other Race Alone","Number","Per Capita Income",15982
"Connecticut","09","2007-2011","Some Other Race Alone","Number","Margins of Error",399
"Connecticut","09","2007-2011","Two or More Races","Number","Per Capita Income",16327
"Connecticut","09","2007-2011","Two or More Races","Number","Margins of Error",784
"Connecticut","09","2007-2011","White Alone","Number","Per Capita Income",41713
"Connecticut","09","2007-2011","White Alone","Number","Margins of Error",299
"Connecticut","09","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",43687
"Connecticut","09","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",325
"Connecticut","09","2008-2012","All","Number","Per Capita Income",37807
"Connecticut","09","2008-2012","All","Number","Margins of Error",222
"Connecticut","09","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",22792
"Connecticut","09","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",2991
"Connecticut","09","2008-2012","Asian Alone","Number","Per Capita Income",37464
"Connecticut","09","2008-2012","Asian Alone","Number","Margins of Error",1297
"Connecticut","09","2008-2012","Black or African American Alone","Number","Per Capita Income",21993
"Connecticut","09","2008-2012","Black or African American Alone","Number","Margins of Error",398
"Connecticut","09","2008-2012","Hispanic or Latino","Number","Per Capita Income",18354
"Connecticut","09","2008-2012","Hispanic or Latino","Number","Margins of Error",375
"Connecticut","09","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",44880
"Connecticut","09","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",20004
"Connecticut","09","2008-2012","Some Other Race Alone","Number","Per Capita Income",15716
"Connecticut","09","2008-2012","Some Other Race Alone","Number","Margins of Error",429
"Connecticut","09","2008-2012","Two or More Races","Number","Per Capita Income",16842
"Connecticut","09","2008-2012","Two or More Races","Number","Margins of Error",739
"Connecticut","09","2008-2012","White Alone","Number","Per Capita Income",41935
"Connecticut","09","2008-2012","White Alone","Number","Margins of Error",277
"Connecticut","09","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",44051
"Connecticut","09","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",303
"Connecticut","09","2009-2013","All","Number","Per Capita Income",37892
"Connecticut","09","2009-2013","All","Number","Margins of Error",213
"Connecticut","09","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",22262
"Connecticut","09","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",3018
"Connecticut","09","2009-2013","Asian Alone","Number","Per Capita Income",37966
"Connecticut","09","2009-2013","Asian Alone","Number","Margins of Error",1354
"Connecticut","09","2009-2013","Black or African American Alone","Number","Per Capita Income",21878
"Connecticut","09","2009-2013","Black or African American Alone","Number","Margins of Error",448
"Connecticut","09","2009-2013","Hispanic or Latino","Number","Per Capita Income",18180
"Connecticut","09","2009-2013","Hispanic or Latino","Number","Margins of Error",349
"Connecticut","09","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",44096
"Connecticut","09","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",23127
"Connecticut","09","2009-2013","Some Other Race Alone","Number","Per Capita Income",15836
"Connecticut","09","2009-2013","Some Other Race Alone","Number","Margins of Error",526
"Connecticut","09","2009-2013","Two or More Races","Number","Per Capita Income",16161
"Connecticut","09","2009-2013","Two or More Races","Number","Margins of Error",888
"Connecticut","09","2009-2013","White Alone","Number","Per Capita Income",42190
"Connecticut","09","2009-2013","White Alone","Number","Margins of Error",244
"Connecticut","09","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",44420
"Connecticut","09","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",277
"Connecticut","09","2010-2014","All","Number","Per Capita Income",38480
"Connecticut","09","2010-2014","All","Number","Margins of Error",253
"Connecticut","09","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",23470
"Connecticut","09","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",4597
"Connecticut","09","2010-2014","Asian Alone","Number","Per Capita Income",38541
"Connecticut","09","2010-2014","Asian Alone","Number","Margins of Error",1046
"Connecticut","09","2010-2014","Black or African American Alone","Number","Per Capita Income",22309
"Connecticut","09","2010-2014","Black or African American Alone","Number","Margins of Error",454
"Connecticut","09","2010-2014","Hispanic or Latino","Number","Per Capita Income",18586
"Connecticut","09","2010-2014","Hispanic or Latino","Number","Margins of Error",377
"Connecticut","09","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",51773
"Connecticut","09","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",26936
"Connecticut","09","2010-2014","Some Other Race Alone","Number","Per Capita Income",15907
"Connecticut","09","2010-2014","Some Other Race Alone","Number","Margins of Error",467
"Connecticut","09","2010-2014","Two or More Races","Number","Per Capita Income",17324
"Connecticut","09","2010-2014","Two or More Races","Number","Margins of Error",810
"Connecticut","09","2010-2014","White Alone","Number","Per Capita Income",42868
"Connecticut","09","2010-2014","White Alone","Number","Margins of Error",313
"Connecticut","09","2010-2014","White Alone Not Hispanic or Latino","Number","Per Capita Income",45264
"Connecticut","09","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",321
"Connecticut","09","2011-2015","All","Number","Per Capita Income",38803
"Connecticut","09","2011-2015","All","Number","Margins of Error",248
"Connecticut","09","2011-2015","American Indian and Alaska Native Alone","Number","Per Capita Income",22777
"Connecticut","09","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",3370
"Connecticut","09","2011-2015","Asian Alone","Number","Per Capita Income",40288
"Connecticut","09","2011-2015","Asian Alone","Number","Margins of Error",1164
"Connecticut","09","2011-2015","Black or African American Alone","Number","Per Capita Income",22381
"Connecticut","09","2011-2015","Black or African American Alone","Number","Margins of Error",462
"Connecticut","09","2011-2015","Hispanic or Latino","Number","Per Capita Income",18955
"Connecticut","09","2011-2015","Hispanic or Latino","Number","Margins of Error",386
"Connecticut","09","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",53311
"Connecticut","09","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",32836
"Connecticut","09","2011-2015","Some Other Race Alone","Number","Per Capita Income",16329
"Connecticut","09","2011-2015","Some Other Race Alone","Number","Margins of Error",498
"Connecticut","09","2011-2015","Two or More Races","Number","Per Capita Income",16886
"Connecticut","09","2011-2015","Two or More Races","Number","Margins of Error",891
"Connecticut","09","2011-2015","White Alone","Number","Per Capita Income",43234
"Connecticut","09","2011-2015","White Alone","Number","Margins of Error",301
"Connecticut","09","2011-2015","White Alone Not Hispanic or Latino","Number","Per Capita Income",45726
"Connecticut","09","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",312
"Connecticut","09","2012-2016","All","Number","Per Capita Income",39906
"Connecticut","09","2012-2016","All","Number","Margins of Error",265
"Connecticut","09","2012-2016","American Indian and Alaska Native Alone","Number","Per Capita Income",21639
"Connecticut","09","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",1964
"Connecticut","09","2012-2016","Asian Alone","Number","Per Capita Income",41752
"Connecticut","09","2012-2016","Asian Alone","Number","Margins of Error",1268
"Connecticut","09","2012-2016","Black or African American Alone","Number","Per Capita Income",22927
"Connecticut","09","2012-2016","Black or African American Alone","Number","Margins of Error",381
"Connecticut","09","2012-2016","Hispanic or Latino","Number","Per Capita Income",19708
"Connecticut","09","2012-2016","Hispanic or Latino","Number","Margins of Error",340
"Connecticut","09","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",56674
"Connecticut","09","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",30203
"Connecticut","09","2012-2016","Some Other Race Alone","Number","Per Capita Income",16893
"Connecticut","09","2012-2016","Some Other Race Alone","Number","Margins of Error",434
"Connecticut","09","2012-2016","Two or More Races","Number","Per Capita Income",16795
"Connecticut","09","2012-2016","Two or More Races","Number","Margins of Error",844
"Connecticut","09","2012-2016","White Alone","Number","Per Capita Income",44515
"Connecticut","09","2012-2016","White Alone","Number","Margins of Error",314
"Connecticut","09","2012-2016","White Alone Not Hispanic or Latino","Number","Per Capita Income",47200
"Connecticut","09","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",349
"Connecticut","09","2013-2017","All","Number","Per Capita Income",41365
"Connecticut","09","2013-2017","All","Number","Margins of Error",236
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Number","Per Capita Income",22316
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",1836
"Connecticut","09","2013-2017","Asian Alone","Number","Per Capita Income",43508
"Connecticut","09","2013-2017","Asian Alone","Number","Margins of Error",1318
"Connecticut","09","2013-2017","Black or African American Alone","Number","Per Capita Income",24246
"Connecticut","09","2013-2017","Black or African American Alone","Number","Margins of Error",553
"Connecticut","09","2013-2017","Hispanic or Latino","Number","Per Capita Income",20589
"Connecticut","09","2013-2017","Hispanic or Latino","Number","Margins of Error",341
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",39323
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",14656
"Connecticut","09","2013-2017","Some Other Race Alone","Number","Per Capita Income",17546
"Connecticut","09","2013-2017","Some Other Race Alone","Number","Margins of Error",448
"Connecticut","09","2013-2017","Two or More Races","Number","Per Capita Income",17321
"Connecticut","09","2013-2017","Two or More Races","Number","Margins of Error",896
"Connecticut","09","2013-2017","White Alone","Number","Per Capita Income",46198
"Connecticut","09","2013-2017","White Alone","Number","Margins of Error",288
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Number","Per Capita Income",49056
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",316
"Connecticut","09","2014-2018","All","Number","Per Capita Income",43056
"Connecticut","09","2014-2018","All","Number","Margins of Error",282
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Number","Per Capita Income",23788
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",2197
"Connecticut","09","2014-2018","Asian Alone","Number","Per Capita Income",46051
"Connecticut","09","2014-2018","Asian Alone","Number","Margins of Error",1245
"Connecticut","09","2014-2018","Black or African American Alone","Number","Per Capita Income",25119
"Connecticut","09","2014-2018","Black or African American Alone","Number","Margins of Error",493
"Connecticut","09","2014-2018","Hispanic or Latino","Number","Per Capita Income",21515
"Connecticut","09","2014-2018","Hispanic or Latino","Number","Margins of Error",382
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",50815
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",16646
"Connecticut","09","2014-2018","Some Other Race Alone","Number","Per Capita Income",18257
"Connecticut","09","2014-2018","Some Other Race Alone","Number","Margins of Error",550
"Connecticut","09","2014-2018","Two or More Races","Number","Per Capita Income",17581
"Connecticut","09","2014-2018","Two or More Races","Number","Margins of Error",705
"Connecticut","09","2014-2018","White Alone","Number","Per Capita Income",48164
"Connecticut","09","2014-2018","White Alone","Number","Margins of Error",341
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Number","Per Capita Income",51211
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Number","Margins of Error",365
"Fairfield County","09001","2005-2009","All","Number","Per Capita Income",48394
"Fairfield County","09001","2005-2009","All","Number","Margins of Error",670
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",30413
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",4939
"Fairfield County","09001","2005-2009","Asian Alone","Number","Per Capita Income",49138
"Fairfield County","09001","2005-2009","Asian Alone","Number","Margins of Error",3331
"Fairfield County","09001","2005-2009","Black or African American Alone","Number","Per Capita Income",21909
"Fairfield County","09001","2005-2009","Black or African American Alone","Number","Margins of Error",788
"Fairfield County","09001","2005-2009","Hispanic or Latino","Number","Per Capita Income",22196
"Fairfield County","09001","2005-2009","Hispanic or Latino","Number","Margins of Error",1113
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",32601
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",31029
"Fairfield County","09001","2005-2009","Some Other Race Alone","Number","Per Capita Income",19955
"Fairfield County","09001","2005-2009","Some Other Race Alone","Number","Margins of Error",2068
"Fairfield County","09001","2005-2009","Two or More Races","Number","Per Capita Income",22326
"Fairfield County","09001","2005-2009","Two or More Races","Number","Margins of Error",3860
"Fairfield County","09001","2005-2009","White Alone","Number","Per Capita Income",54443
"Fairfield County","09001","2005-2009","White Alone","Number","Margins of Error",851
"Fairfield County","09001","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",58318
"Fairfield County","09001","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",945
"Fairfield County","09001","2006-2010","All","Number","Per Capita Income",48295
"Fairfield County","09001","2006-2010","All","Number","Margins of Error",658
"Fairfield County","09001","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",29082
"Fairfield County","09001","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",4977
"Fairfield County","09001","2006-2010","Asian Alone","Number","Per Capita Income",46700
"Fairfield County","09001","2006-2010","Asian Alone","Number","Margins of Error",2953
"Fairfield County","09001","2006-2010","Black or African American Alone","Number","Per Capita Income",22609
"Fairfield County","09001","2006-2010","Black or African American Alone","Number","Margins of Error",858
"Fairfield County","09001","2006-2010","Hispanic or Latino","Number","Per Capita Income",20922
"Fairfield County","09001","2006-2010","Hispanic or Latino","Number","Margins of Error",897
"Fairfield County","09001","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",33536
"Fairfield County","09001","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",19580
"Fairfield County","09001","2006-2010","Some Other Race Alone","Number","Per Capita Income",17651
"Fairfield County","09001","2006-2010","Some Other Race Alone","Number","Margins of Error",1205
"Fairfield County","09001","2006-2010","Two or More Races","Number","Per Capita Income",22564
"Fairfield County","09001","2006-2010","Two or More Races","Number","Margins of Error",3627
"Fairfield County","09001","2006-2010","White Alone","Number","Per Capita Income",54876
"Fairfield County","09001","2006-2010","White Alone","Number","Margins of Error",780
"Fairfield County","09001","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",59316
"Fairfield County","09001","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",929
"Fairfield County","09001","2007-2011","All","Number","Per Capita Income",48922
"Fairfield County","09001","2007-2011","All","Number","Margins of Error",581
"Fairfield County","09001","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",26498
"Fairfield County","09001","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",5220
"Fairfield County","09001","2007-2011","Asian Alone","Number","Per Capita Income",47032
"Fairfield County","09001","2007-2011","Asian Alone","Number","Margins of Error",3348
"Fairfield County","09001","2007-2011","Black or African American Alone","Number","Per Capita Income",23333
"Fairfield County","09001","2007-2011","Black or African American Alone","Number","Margins of Error",1011
"Fairfield County","09001","2007-2011","Hispanic or Latino","Number","Per Capita Income",21570
"Fairfield County","09001","2007-2011","Hispanic or Latino","Number","Margins of Error",832
"Fairfield County","09001","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",35584
"Fairfield County","09001","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",19993
"Fairfield County","09001","2007-2011","Some Other Race Alone","Number","Per Capita Income",17824
"Fairfield County","09001","2007-2011","Some Other Race Alone","Number","Margins of Error",859
"Fairfield County","09001","2007-2011","Two or More Races","Number","Per Capita Income",19223
"Fairfield County","09001","2007-2011","Two or More Races","Number","Margins of Error",2888
"Fairfield County","09001","2007-2011","White Alone","Number","Per Capita Income",55855
"Fairfield County","09001","2007-2011","White Alone","Number","Margins of Error",752
"Fairfield County","09001","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",60385
"Fairfield County","09001","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",834
"Fairfield County","09001","2008-2012","All","Number","Per Capita Income",48900
"Fairfield County","09001","2008-2012","All","Number","Margins of Error",644
"Fairfield County","09001","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",23125
"Fairfield County","09001","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",4967
"Fairfield County","09001","2008-2012","Asian Alone","Number","Per Capita Income",47605
"Fairfield County","09001","2008-2012","Asian Alone","Number","Margins of Error",3024
"Fairfield County","09001","2008-2012","Black or African American Alone","Number","Per Capita Income",23058
"Fairfield County","09001","2008-2012","Black or African American Alone","Number","Margins of Error",762
"Fairfield County","09001","2008-2012","Hispanic or Latino","Number","Per Capita Income",21892
"Fairfield County","09001","2008-2012","Hispanic or Latino","Number","Margins of Error",855
"Fairfield County","09001","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",43314
"Fairfield County","09001","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",14705
"Fairfield County","09001","2008-2012","Some Other Race Alone","Number","Per Capita Income",17287
"Fairfield County","09001","2008-2012","Some Other Race Alone","Number","Margins of Error",852
"Fairfield County","09001","2008-2012","Two or More Races","Number","Per Capita Income",19845
"Fairfield County","09001","2008-2012","Two or More Races","Number","Margins of Error",2390
"Fairfield County","09001","2008-2012","White Alone","Number","Per Capita Income",56023
"Fairfield County","09001","2008-2012","White Alone","Number","Margins of Error",840
"Fairfield County","09001","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",60604
"Fairfield County","09001","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",958
"Fairfield County","09001","2009-2013","All","Number","Per Capita Income",48721
"Fairfield County","09001","2009-2013","All","Number","Margins of Error",559
"Fairfield County","09001","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",24800
"Fairfield County","09001","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",4125
"Fairfield County","09001","2009-2013","Asian Alone","Number","Per Capita Income",48073
"Fairfield County","09001","2009-2013","Asian Alone","Number","Margins of Error",3053
"Fairfield County","09001","2009-2013","Black or African American Alone","Number","Per Capita Income",22461
"Fairfield County","09001","2009-2013","Black or African American Alone","Number","Margins of Error",902
"Fairfield County","09001","2009-2013","Hispanic or Latino","Number","Per Capita Income",21946
"Fairfield County","09001","2009-2013","Hispanic or Latino","Number","Margins of Error",783
"Fairfield County","09001","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",39417
"Fairfield County","09001","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",14627
"Fairfield County","09001","2009-2013","Some Other Race Alone","Number","Per Capita Income",17500
"Fairfield County","09001","2009-2013","Some Other Race Alone","Number","Margins of Error",880
"Fairfield County","09001","2009-2013","Two or More Races","Number","Per Capita Income",19544
"Fairfield County","09001","2009-2013","Two or More Races","Number","Margins of Error",2835
"Fairfield County","09001","2009-2013","White Alone","Number","Per Capita Income",56388
"Fairfield County","09001","2009-2013","White Alone","Number","Margins of Error",712
"Fairfield County","09001","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",60745
"Fairfield County","09001","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",809
"Fairfield County","09001","2010-2014","All","Number","Per Capita Income",49688
"Fairfield County","09001","2010-2014","All","Number","Margins of Error",600
"Fairfield County","09001","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",22809
"Fairfield County","09001","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",3632
"Fairfield County","09001","2010-2014","Asian Alone","Number","Per Capita Income",48716
"Fairfield County","09001","2010-2014","Asian Alone","Number","Margins of Error",2688
"Fairfield County","09001","2010-2014","Black or African American Alone","Number","Per Capita Income",23966
"Fairfield County","09001","2010-2014","Black or African American Alone","Number","Margins of Error",1005
"Fairfield County","09001","2010-2014","Hispanic or Latino","Number","Per Capita Income",22511
"Fairfield County","09001","2010-2014","Hispanic or Latino","Number","Margins of Error",903
"Fairfield County","09001","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",44698
"Fairfield County","09001","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",17371
"Fairfield County","09001","2010-2014","Some Other Race Alone","Number","Per Capita Income",17253
"Fairfield County","09001","2010-2014","Some Other Race Alone","Number","Margins of Error",822
"Fairfield County","09001","2010-2014","Two or More Races","Number","Per Capita Income",20034
"Fairfield County","09001","2010-2014","Two or More Races","Number","Margins of Error",2884
"Fairfield County","09001","2010-2014","White Alone","Number","Per Capita Income",57708
"Fairfield County","09001","2010-2014","White Alone","Number","Margins of Error",785
"Fairfield County","09001","2010-2014","White Alone Not Hispanic or Latino","Number","Per Capita Income",62163
"Fairfield County","09001","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",837
"Fairfield County","09001","2011-2015","All","Number","Per Capita Income",50137
"Fairfield County","09001","2011-2015","All","Number","Margins of Error",563
"Fairfield County","09001","2011-2015","American Indian and Alaska Native Alone","Number","Per Capita Income",22389
"Fairfield County","09001","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",4079
"Fairfield County","09001","2011-2015","Asian Alone","Number","Per Capita Income",52430
"Fairfield County","09001","2011-2015","Asian Alone","Number","Margins of Error",2388
"Fairfield County","09001","2011-2015","Black or African American Alone","Number","Per Capita Income",23641
"Fairfield County","09001","2011-2015","Black or African American Alone","Number","Margins of Error",797
"Fairfield County","09001","2011-2015","Hispanic or Latino","Number","Per Capita Income",22840
"Fairfield County","09001","2011-2015","Hispanic or Latino","Number","Margins of Error",851
"Fairfield County","09001","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",29797
"Fairfield County","09001","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",13686
"Fairfield County","09001","2011-2015","Some Other Race Alone","Number","Per Capita Income",17911
"Fairfield County","09001","2011-2015","Some Other Race Alone","Number","Margins of Error",843
"Fairfield County","09001","2011-2015","Two or More Races","Number","Per Capita Income",19151
"Fairfield County","09001","2011-2015","Two or More Races","Number","Margins of Error",2175
"Fairfield County","09001","2011-2015","White Alone","Number","Per Capita Income",58219
"Fairfield County","09001","2011-2015","White Alone","Number","Margins of Error",765
"Fairfield County","09001","2011-2015","White Alone Not Hispanic or Latino","Number","Per Capita Income",62899
"Fairfield County","09001","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",810
"Fairfield County","09001","2012-2016","All","Number","Per Capita Income",51719
"Fairfield County","09001","2012-2016","All","Number","Margins of Error",665
"Fairfield County","09001","2012-2016","American Indian and Alaska Native Alone","Number","Per Capita Income",23893
"Fairfield County","09001","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",3817
"Fairfield County","09001","2012-2016","Asian Alone","Number","Per Capita Income",53838
"Fairfield County","09001","2012-2016","Asian Alone","Number","Margins of Error",2960
"Fairfield County","09001","2012-2016","Black or African American Alone","Number","Per Capita Income",23824
"Fairfield County","09001","2012-2016","Black or African American Alone","Number","Margins of Error",808
"Fairfield County","09001","2012-2016","Hispanic or Latino","Number","Per Capita Income",23588
"Fairfield County","09001","2012-2016","Hispanic or Latino","Number","Margins of Error",803
"Fairfield County","09001","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",35147
"Fairfield County","09001","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",11899
"Fairfield County","09001","2012-2016","Some Other Race Alone","Number","Per Capita Income",18206
"Fairfield County","09001","2012-2016","Some Other Race Alone","Number","Margins of Error",843
"Fairfield County","09001","2012-2016","Two or More Races","Number","Per Capita Income",19979
"Fairfield County","09001","2012-2016","Two or More Races","Number","Margins of Error",2280
