"County","FIPS","Year","Race/Ethnicity","Age","Poverty Status","Measure Type","Variable","Value"
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",23245
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",1166.36
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",25.15
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.14
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",92410
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",2000.68
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",29.48
"Connecticut","09","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.6
"Connecticut","09","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",94848
"Connecticut","09","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",3492
"Connecticut","09","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",24.19
"Connecticut","09","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.89
"Connecticut","09","2005-2009","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",392133
"Connecticut","09","2005-2009","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",896
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",41458
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1342.17
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",31
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.87
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",133714
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",2167.13
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",34.1
"Connecticut","09","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.55
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",9
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",21
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",0.75
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",1.74
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",1207
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",145
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",0
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",426.08
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",0
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",113.93
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",374
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",545.6
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",30.99
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",45.05
"Connecticut","09","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",45576
"Connecticut","09","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",2994
"Connecticut","09","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",27.09
"Connecticut","09","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",1.63
"Connecticut","09","2005-2009","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",168269
"Connecticut","09","2005-2009","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",4367
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",19253
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",1028.87
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",35.92
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.55
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",53606
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1692.6
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",31.86
"Connecticut","09","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.57
"Connecticut","09","2005-2009","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",10898
"Connecticut","09","2005-2009","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",1228
"Connecticut","09","2005-2009","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",16.43
"Connecticut","09","2005-2009","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",1.75
"Connecticut","09","2005-2009","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",66333
"Connecticut","09","2005-2009","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",2455
"Connecticut","09","2005-2009","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",6183
"Connecticut","09","2005-2009","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",626.22
"Connecticut","09","2005-2009","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",17.6
"Connecticut","09","2005-2009","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",1.65
"Connecticut","09","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",35132
"Connecticut","09","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",1367.85
"Connecticut","09","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",52.96
"Connecticut","09","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",0.64
"Connecticut","09","2005-2009","White Alone","Total","Below Poverty Level","Number","Poverty Status",170719
"Connecticut","09","2005-2009","White Alone","Total","Below Poverty Level","Number","Margins of Error",4884
"Connecticut","09","2005-2009","White Alone","Total","Below Poverty Level","Percent","Poverty Status",6.29
"Connecticut","09","2005-2009","White Alone","Total","Below Poverty Level","Percent","Margins of Error",0.18
"Connecticut","09","2005-2009","White Alone","Total","Poverty Status Determined","Number","Poverty Status",2712300
"Connecticut","09","2005-2009","White Alone","Total","Poverty Status Determined","Number","Margins of Error",4288
"Connecticut","09","2005-2009","White Alone","Under 18","Below Poverty Level","Number","Poverty Status",43706
"Connecticut","09","2005-2009","White Alone","Under 18","Below Poverty Level","Number","Margins of Error",1572.23
"Connecticut","09","2005-2009","White Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.32
"Connecticut","09","2005-2009","White Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.26
"Connecticut","09","2005-2009","White Alone","Under 18","Poverty Status Determined","Number","Poverty Status",597387
"Connecticut","09","2005-2009","White Alone","Under 18","Poverty Status Determined","Number","Margins of Error",3720.41
"Connecticut","09","2005-2009","White Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",22.03
"Connecticut","09","2005-2009","White Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",128841
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",3714
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",5.13
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.15
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",2510128
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",2118
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",25612
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1193.95
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",4.82
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.22
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",531084
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",3308.31
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",21.16
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Connecticut","09","2006-2010","All","Total","Below Poverty Level","Number","Poverty Status",314306
"Connecticut","09","2006-2010","All","Total","Below Poverty Level","Number","Margins of Error",6951
"Connecticut","09","2006-2010","All","Total","Below Poverty Level","Percent","Poverty Status",9.15
"Connecticut","09","2006-2010","All","Total","Below Poverty Level","Percent","Margins of Error",0.2
"Connecticut","09","2006-2010","All","Total","Poverty Status Determined","Number","Poverty Status",3434901
"Connecticut","09","2006-2010","All","Total","Poverty Status Determined","Number","Margins of Error",939
"Connecticut","09","2006-2010","All","Under 18","Below Poverty Level","Number","Poverty Status",99524
"Connecticut","09","2006-2010","All","Under 18","Below Poverty Level","Number","Margins of Error",2416.66
"Connecticut","09","2006-2010","All","Under 18","Below Poverty Level","Percent","Poverty Status",12.19
"Connecticut","09","2006-2010","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.29
"Connecticut","09","2006-2010","All","Under 18","Poverty Status Determined","Number","Poverty Status",816122
"Connecticut","09","2006-2010","All","Under 18","Poverty Status Determined","Number","Margins of Error",4738.46
"Connecticut","09","2006-2010","All","Under 18","Poverty Status Determined","Percent","Poverty Status",23.76
"Connecticut","09","2006-2010","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.14
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",1244
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",430
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",16.64
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",5.48
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",7478
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",782
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",335
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",295.51
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",17.64
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",15.09
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",1899
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",407.65
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",25.39
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",4.76
"Connecticut","09","2006-2010","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",9498
"Connecticut","09","2006-2010","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",1012
"Connecticut","09","2006-2010","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",7.57
"Connecticut","09","2006-2010","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",0.8
"Connecticut","09","2006-2010","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",125472
"Connecticut","09","2006-2010","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",1151
"Connecticut","09","2006-2010","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",2309
"Connecticut","09","2006-2010","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",339.53
"Connecticut","09","2006-2010","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.02
"Connecticut","09","2006-2010","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.01
"Connecticut","09","2006-2010","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",32913
"Connecticut","09","2006-2010","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",925.4
"Connecticut","09","2006-2010","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",26.23
"Connecticut","09","2006-2010","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.7
"Connecticut","09","2006-2010","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",62628
"Connecticut","09","2006-2010","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",3295
"Connecticut","09","2006-2010","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",19.19
"Connecticut","09","2006-2010","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",1
"Connecticut","09","2006-2010","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",326371
"Connecticut","09","2006-2010","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",2378
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",23994
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",1227.72
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",25.42
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.18
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",94396
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1996.36
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",28.92
"Connecticut","09","2006-2010","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.57
"Connecticut","09","2006-2010","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",105784
"Connecticut","09","2006-2010","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",3488
"Connecticut","09","2006-2010","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",24.43
"Connecticut","09","2006-2010","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.8
"Connecticut","09","2006-2010","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",432941
"Connecticut","09","2006-2010","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",742
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",45522
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1501.42
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",30.84
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.89
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",147593
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",2374.19
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",34.09
"Connecticut","09","2006-2010","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.55
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",91
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",114
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",7.29
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",9.06
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",1248
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",198
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",0
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",426.08
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",0
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",129.12
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",330
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",541.57
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",26.44
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",43.19
"Connecticut","09","2006-2010","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",51689
"Connecticut","09","2006-2010","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",2994
"Connecticut","09","2006-2010","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",28.42
"Connecticut","09","2006-2010","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",1.41
"Connecticut","09","2006-2010","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",181907
"Connecticut","09","2006-2010","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",5454
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",21416
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",1160.9
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",37.7
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.62
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",56809
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1872.67
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",31.23
"Connecticut","09","2006-2010","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.43
"Connecticut","09","2006-2010","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",11250
"Connecticut","09","2006-2010","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",1063
"Connecticut","09","2006-2010","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",14.99
"Connecticut","09","2006-2010","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",1.29
"Connecticut","09","2006-2010","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",75047
"Connecticut","09","2006-2010","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",2940
"Connecticut","09","2006-2010","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",6517
"Connecticut","09","2006-2010","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",661.06
"Connecticut","09","2006-2010","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",16.25
"Connecticut","09","2006-2010","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",1.53
"Connecticut","09","2006-2010","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",40112
"Connecticut","09","2006-2010","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",1481.17
"Connecticut","09","2006-2010","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",53.45
"Connecticut","09","2006-2010","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",2.88
"Connecticut","09","2006-2010","White Alone","Total","Below Poverty Level","Number","Poverty Status",177906
"Connecticut","09","2006-2010","White Alone","Total","Below Poverty Level","Number","Margins of Error",5060
"Connecticut","09","2006-2010","White Alone","Total","Below Poverty Level","Percent","Poverty Status",6.55
"Connecticut","09","2006-2010","White Alone","Total","Below Poverty Level","Percent","Margins of Error",0.19
"Connecticut","09","2006-2010","White Alone","Total","Poverty Status Determined","Number","Poverty Status",2717378
"Connecticut","09","2006-2010","White Alone","Total","Poverty Status Determined","Number","Margins of Error",5397
"Connecticut","09","2006-2010","White Alone","Under 18","Below Poverty Level","Number","Poverty Status",44953
"Connecticut","09","2006-2010","White Alone","Under 18","Below Poverty Level","Number","Margins of Error",1602.38
"Connecticut","09","2006-2010","White Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.62
"Connecticut","09","2006-2010","White Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.27
"Connecticut","09","2006-2010","White Alone","Under 18","Poverty Status Determined","Number","Poverty Status",589663
"Connecticut","09","2006-2010","White Alone","Under 18","Poverty Status Determined","Number","Margins of Error",3715.57
"Connecticut","09","2006-2010","White Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",21.7
"Connecticut","09","2006-2010","White Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
